Event_id,Restaurant_id,Name,Photo_Url,Event_Title,Start_Date,End_Date
336718,18621437,The FML Lounge,['https://b.zmtcdn.com/data/zomato_events/photos/308/c3b32cf4f0840253801ff0c01e6fa308_1554714758.jpg'],HAPPY DAYS 1+1,2019-04-08,2019-05-31
337114,18536004,Culture - पुणे,['https://b.zmtcdn.com/data/zomato_events/photos/b58/f2a16cc683eeaabb01052f2c7959fb58_1554792467.jpg'],IPL Quiz Night,2019-04-10,2019-04-10
337273,6508323,The Urban Foundry,['https://b.zmtcdn.com/data/zomato_events/photos/a64/c393a5e9f6a20df4f15f19926c5afa64_1554807097.jpg'],LIVE SCREENING,2019-04-09,2019-04-30
337301,18807262,Broadway,['https://b.zmtcdn.com/data/zomato_events/photos/f0d/f84051fb085a223c2970971957175f0d_1554810437.jpg'],Meghna Dundi Trio LIVE,2019-04-10,2019-04-10
336905,18607685,Farzi Cafe,['https://b.zmtcdn.com/data/zomato_events/photos/131/80b55b59d265decfe4ed923157b53131_1554728150.jpeg'],Electronic Fridays with YOGI!,2019-04-12,2019-04-13
337249,18800810,The Black Pearl,"['https://b.zmtcdn.com/data/zomato_events/photos/34b/2ca35fca44e8e154a940b4ad46af634b_1554804659.jpg', 'https://b.zmtcdn.com/data/zomato_events/photos/7d6/388c741ca91a34e4bcc9f67bf764e7d6_1554804659.jpg']",Tamil Puthandu in Pirates Style,2019-04-14,2019-04-14
337249,18800810,The Black Pearl,"['https://b.zmtcdn.com/data/zomato_events/photos/34b/2ca35fca44e8e154a940b4ad46af634b_1554804659.jpg', 'https://b.zmtcdn.com/data/zomato_events/photos/7d6/388c741ca91a34e4bcc9f67bf764e7d6_1554804659.jpg']",Tamil Puthandu in Pirates Style,2019-04-14,2019-04-14
337249,18800810,The Black Pearl,"['https://b.zmtcdn.com/data/zomato_events/photos/34b/2ca35fca44e8e154a940b4ad46af634b_1554804659.jpg', 'https://b.zmtcdn.com/data/zomato_events/photos/7d6/388c741ca91a34e4bcc9f67bf764e7d6_1554804659.jpg']",Tamil Puthandu in Pirates Style,2019-04-14,2019-04-14
337249,18800810,The Black Pearl,"['https://b.zmtcdn.com/data/zomato_events/photos/34b/2ca35fca44e8e154a940b4ad46af634b_1554804659.jpg', 'https://b.zmtcdn.com/data/zomato_events/photos/7d6/388c741ca91a34e4bcc9f67bf764e7d6_1554804659.jpg']",Tamil Puthandu in Pirates Style,2019-04-14,2019-04-14
337249,18800810,The Black Pearl,"['https://b.zmtcdn.com/data/zomato_events/photos/34b/2ca35fca44e8e154a940b4ad46af634b_1554804659.jpg', 'https://b.zmtcdn.com/data/zomato_events/photos/7d6/388c741ca91a34e4bcc9f67bf764e7d6_1554804659.jpg']",Tamil Puthandu in Pirates Style,2019-04-14,2019-04-14
329269,71443,Palmshore,['https://b.zmtcdn.com/data/zomato_events/photos/810/f8fc852a354dbfa87faac0ca6c899810_1553230796.jpg'],Buffet,2019-03-22,2019-04-30
335809,18801082,Farzi Café,['https://b.zmtcdn.com/data/zomato_events/photos/814/df682d8402a8276f22dd32b0cf180814_1554455250.jpeg'],Sunday Night with Indie Street Rockers!,2019-04-14,2019-04-15
335809,18801082,Farzi Café,['https://b.zmtcdn.com/data/zomato_events/photos/814/df682d8402a8276f22dd32b0cf180814_1554455250.jpeg'],Sunday Night with Indie Street Rockers!,2019-04-14,2019-04-15
336239,18439027,Skyhilton,['https://b.zmtcdn.com/data/zomato_events/photos/142/03b08e1096a645facf19bec8f7124142_1554550960.jpg'],Unlimited Navratri Chaat,2019-04-06,2019-04-13
336485,18748726,The Night Jar,['https://b.zmtcdn.com/data/zomato_events/photos/104/70ee0cc803cdbdde1ab8bb92d3315104_1554742926.jpg'],Wow Wednesday,2019-04-10,2019-04-10
334436,102695,Thali and More,['https://b.zmtcdn.com/data/zomato_events/photos/d93/1ff671abaef07622a8b530b09fff9d93_1554206574.jpeg'],GOOD MORNING JAIPUR,2019-04-03,2019-04-30
327580,18627705,I Love Sandwich House,['https://b.zmtcdn.com/data/zomato_events/photos/23a/38d30c8b480f04b9587fcefaf757e23a_1552903234.jpg'],"SALAD FEST - "" The Summer of Salads """,2019-03-18,2019-04-30
335248,18694731,DND - Daily Nutritional Diet,['https://b.zmtcdn.com/data/zomato_events/photos/dca/ea2c012dfb0bdd868fe3b7c2a19f6dca_1554359769.jpg'],Navratri Special Menu,2019-04-04,2019-04-14
